"","sample","response","method","MSEmean","MSEsd","MAEmean","MAEsd","MSPEmean","MSPEsd","MAPEmean","MAPEsd","MSE","MAE","MSPEs","MSPE","MAPE"
"22",80,50,"Ridge",0.0935562091434404,0.0261308804579567,0.245766369203994,0.0352982633499258,8913602.79960958,3408534.01716726,1277.70863380169,177.071601849752,"0.094 (0.026)","0.246 (0.035)","8.91e+06 (3.41e+06)","8913603 (3408534)","1278 (177)"
"23",80,50,"EN",0.00228031055616572,0.000642564524710368,0.0341402887726235,0.00379350829742822,119360.557964864,68258.1569389379,131.763578592108,15.4923923828367,"0.002 (< 0.001)","0.034 (0.004)","1.19e+05 (6.83e+04)","119361 (68258)","132 (15)"
"24",80,50,"Lasso",0.00267713233687874,0.000786505882637504,0.0372792674028851,0.00459150140677848,113022.348853515,60065.6543882055,130.509689468925,15.0087818153803,"0.003 (< 0.001)","0.037 (0.005)","1.13e+05 (6.01e+04)","113022 (60066)","131 (15)"
"25",80,50,"Entropy",0.00618336197338988,0.00162366394386924,0.061368366134659,0.00963418769070181,62309.6595480022,31443.4993290296,108.340143922578,13.1693843617469,"0.006 (0.002)","0.061 (0.01)","6.23e+04 (3.14e+04)","62310 (31443)","108 (13)"
"26",80,100,"MLR",0.00239663459441961,0.00284714692032199,0.0320683913164177,0.0157037444606834,41992452.2929711,17139283.8623628,2524.10338776813,168.857903189554,"0.002 (0.003)","0.032 (0.016)","4.20e+07 (1.71e+07)","41992452 (17139284)","2524 (169)"
"27",80,100,"Ridge",0.121873832404499,0.0278811584480643,0.282462644820112,0.0348117650030439,3641998.30188466,1179872.58530901,768.930106088056,101.444628321345,"0.122 (0.028)","0.282 (0.035)","3.64e+06 (1.18e+06)","3641998 (1179873)","769 (101)"
"28",80,100,"EN",0.00213116541283082,0.000414831186481499,0.032832382399405,0.00300018649275584,40456.1156916602,28197.8511220896,68.8696459985971,8.97040061173393,"0.002 (< 0.001)","0.033 (0.003)","4.05e+04 (2.82e+04)","40456 (28198)","69 (9)"
"29",80,100,"Lasso",0.00246551418830423,0.00051798905372175,0.0356926979487975,0.00361295717572551,37938.731192553,25984.4986941977,67.892532632879,9.04307212518647,"0.002 (< 0.001)","0.036 (0.004)","3.79e+04 (2.60e+04)","37939 (25984)","68 (9)"
"30",80,100,"Entropy",0.0054904499000498,0.00116704544661843,0.0559313647644562,0.00744833865004114,29492.2721017819,16661.3361259877,66.3920592461863,7.5169031317096,"0.005 (0.001)","0.056 (0.007)","2.95e+04 (1.67e+04)","29492 (16661)","66 (8)"
"31",160,25,"MLR",5.09946104149133e-05,6.6778242942068e-05,0.00470171743780071,0.0023402655469315,379014902.747359,67537925.7206348,9610.67676804054,548.623114732049,"< 0.001 (< 0.001)","0.005 (0.002)","3.79e+08 (6.75e+07)","379014903 (67537926)","9611 (549)"
